,A,B,C,D,E,F,G,H,I,J,类别数目
0,0.46924222485602035,0.516522441444383,0.5023834899415571,0.41948346580827445,0.17680213096967473,0.5371136598310459,0.5477637994694288,0.4964558449364131,0.5776103760086685,0.5131028269363661,647
1,0.29187072591270735,0.2261086250197665,0.2758852103258569,0.2721331064390683,0.27463083051242093,0.2251091650868901,0.2515593415426379,0.2479381131542261,0.25333256923475655,0.25246374427014684,626
2,0.5308503348306584,0.4949522960675959,0.49568111599573283,0.5274185300273719,0.5822244695718174,0.5481376815990644,0.4256440412479817,0.45748570501684904,0.1842893333884305,0.4647220196708982,638
3,0.4393634724816595,0.4397623615234443,0.44366333689283177,0.440883567025144,0.6963722733840059,0.3984655056983083,0.4666494722121739,0.4916754086581703,0.6969752063088446,0.43471222256658604,589
